periodo,instituicao,tipo_de_especialidade,doentes_saidos,dias_de_internamento,length_patiant,new_var,year,month,week,weekday,doentes_saidos_lag,dias_de_internamento_lag,doentes_saidos_var,dias_de_internamento_var,instituicao1,length_stay_var,tipo_instituicao
2015-01-01,"Unidade Local de Saúde do Baixo Alentejo, EPE",Especialidade Cirurgica,360,2026,5.62777777777778,2,2015,Jan,1,Thu,,,360,2026,"Unidade Local de Saúde do Baixo Alentejo, EPE",5.62777777777778,Hospital
2015-01-01,"Centro Hospitalar Universitário Cova da Beira, EPE",Especialidade Cirurgica,352,2626,7.46022727272727,2,2015,Jan,1,Thu,,,352,2626,"Centro Hospitalar Universitário Cova da Beira, EPE",7.46022727272727,University
2015-01-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,651,3958,6.07987711213518,2,2015,Jan,1,Thu,,,651,3958,"Centro Hospitalar do Baixo Vouga, EPE",6.07987711213518,Hospital
2015-01-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,330,2183,6.61515151515152,2,2015,Jan,1,Thu,,,330,2183,"Instituto Português Oncologia de Coimbra, EPE",6.61515151515152,Cancer hospital
2015-01-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,329,2640,8.02431610942249,2,2015,Jan,1,Thu,,,329,2640,"Unidade Local de Saúde da Guarda, EPE",8.02431610942249,Hospital
2015-01-01,"Centro Hospitalar de Setúbal, EPE",Especialidade Cirurgica,525,3442,6.55619047619048,2,2015,Jan,1,Thu,,,525,3442,"Centro Hospitalar de Setúbal, EPE",6.55619047619048,Hospital
2015-01-01,"Centro Hospitalar Universitário de São João, EPE",Especialidade Cirurgica,2012,13272,6.59642147117296,2,2015,Jan,1,Thu,,,2012,13272,"Centro Hospitalar Universitário de São João, EPE",6.59642147117296,University
2015-01-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,552,3227,5.84601449275362,2,2015,Jan,1,Thu,,,552,3227,"Centro Hospitalar do Médio Ave, EPE",5.84601449275362,Hospital
2015-01-01,"Centro Hospitalar Entre Douro e Vouga, EPE",Especialidade Cirurgica,737,3445,4.67435549525102,2,2015,Jan,1,Thu,,,737,3445,"Centro Hospitalar Entre Douro e Vouga, EPE",4.67435549525102,Hospital
2015-01-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,149,827,5.5503355704698,2,2015,Jan,1,Thu,,,149,827,"Hospital Santa Maria Maior, EPE",5.5503355704698,Hospital
2015-02-01,"Centro Hospitalar Universitário do Algarve,EPE",Especialidade Cirurgica,2248,16312,7.25622775800712,2,2015,Feb,5,Sun,1135,8418,1113,7894,"Centro Hospitalar Universitário do Algarve,EPE",7.09254267744834,University
2015-02-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,80,304,3.8,2,2015,Feb,5,Sun,43,158,37,146,Hospital Dr. Francisco Zagalo,3.94594594594595,Hospital
2015-02-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,632,5371,8.49841772151899,2,2015,Feb,5,Sun,329,2640,303,2731,"Unidade Local de Saúde da Guarda, EPE",9.01320132013201,Hospital
2015-02-01,"Unidade Local de Saúde de Castelo Branco, EPE",Especialidade Cirurgica,568,3964,6.97887323943662,2,2015,Feb,5,Sun,265,1941,303,2023,"Unidade Local de Saúde de Castelo Branco, EPE",6.67656765676568,Hospital
2015-02-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,2098,16563,7.89466158245949,2,2015,Feb,5,Sun,1112,8806,986,7757,"Centro Hospitalar de Lisboa Ocidental, EPE",7.86713995943205,Hospital
2015-02-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,1730,10165,5.8757225433526,2,2015,Feb,5,Sun,875,5216,855,4949,"Hospital Garcia de Orta, EPE",5.78830409356725,Hospital
2015-02-01,"Centro Hospitalar Universitário do Porto, EPE",Especialidade Cirurgica,3356,17179,5.1188915375447,2,2015,Feb,5,Sun,1739,8640,1617,8539,"Centro Hospitalar Universitário do Porto, EPE",5.28076685219542,University
2015-02-01,"Hospital da Senhora da Oliveira, Guimarães, EPE",Especialidade Cirurgica,1625,9792,6.02584615384615,2,2015,Feb,5,Sun,838,5018,787,4774,"Hospital da Senhora da Oliveira, Guimarães, EPE",6.06607369758577,Hospital
2015-02-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,273,1615,5.91575091575092,2,2015,Feb,5,Sun,149,827,124,788,"Hospital Santa Maria Maior, EPE",6.35483870967742,Hospital
2015-02-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,1054,8173,7.75426944971537,2,2015,Feb,5,Sun,509,4094,545,4079,"Instituto Português Oncologia do Porto, EPE",7.48440366972477,Cancer hospital
2015-02-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,1454,8393,5.77235213204952,2,2015,Feb,5,Sun,764,4027,690,4366,"Unidade Local de Saúde do Alto Minho, EPE",6.32753623188406,Hospital
2015-02-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,917,5839,6.36750272628135,2,2015,Feb,5,Sun,456,2947,461,2892,"Unidade Local de Saúde do Nordeste, EPE",6.27331887201735,Hospital
2015-03-01,"Unidade Local de Saúde do Baixo Alentejo, EPE",Especialidade Cirurgica,1079,5997,5.55792400370714,2,2015,Mar,9,Sun,698,3844,381,2153,"Unidade Local de Saúde do Baixo Alentejo, EPE",5.6509186351706,Hospital
2015-03-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,2441,17822,7.30110610405572,2,2015,Mar,9,Sun,1575,11455,866,6367,"Centro Hospitalar Tondela-Viseu, EPE",7.35219399538106,Hospital
2015-03-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,1082,6925,6.40018484288355,2,2015,Mar,9,Sun,683,4612,399,2313,"Instituto Português Oncologia de Coimbra, EPE",5.79699248120301,Cancer hospital
2015-03-01,"Centro Hospitalar Médio Tejo, EPE",Especialidade Cirurgica,1701,10632,6.25044091710758,2,2015,Mar,9,Sun,1112,6897,589,3735,"Centro Hospitalar Médio Tejo, EPE",6.34125636672326,Hospital
2015-03-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,1700,10054,5.91411764705882,2,2015,Mar,9,Sun,1078,6496,622,3558,"Centro Hospitalar do Médio Ave, EPE",5.72025723472669,Hospital
2015-03-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,2891,14415,4.98616395710827,2,2015,Mar,9,Sun,1885,9348,1006,5067,"Centro Hospitalar Tâmega e Sousa, EPE",5.03677932405567,Hospital
2015-03-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Especialidade Cirurgica,2314,13982,6.04235090751945,2,2015,Mar,9,Sun,1473,8969,841,5013,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",5.96076099881094,Hospital
2015-03-01,"Hospital da Senhora da Oliveira, Guimarães, EPE",Especialidade Cirurgica,2553,15686,6.14414414414414,2,2015,Mar,9,Sun,1625,9792,928,5894,"Hospital da Senhora da Oliveira, Guimarães, EPE",6.35129310344828,Hospital
2015-03-01,"Hospital de Braga, PPP",Especialidade Cirurgica,3988,23555,5.90646940822467,2,2015,Mar,9,Sun,2541,14818,1447,8737,"Hospital de Braga, EPE",6.03800967519005,Hospital
2015-03-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,1613,12608,7.81649101053937,2,2015,Mar,9,Sun,1054,8173,559,4435,"Instituto Português Oncologia do Porto, EPE",7.93381037567084,Cancer hospital
2015-03-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,2292,13448,5.8673647469459,2,2015,Mar,9,Sun,1454,8393,838,5055,"Unidade Local de Saúde do Alto Minho, EPE",6.03221957040573,Hospital
2015-04-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,1281,8986,7.01483216237315,2,2015,Apr,13,Wed,961,6780,320,2206,"Unidade Local de Saúde do Norte Alentejano, EPE",6.89375,Hospital
2015-04-01,"Centro Hospitalar Universitário Cova da Beira, EPE",Especialidade Cirurgica,1437,10385,7.22686151704941,2,2015,Apr,13,Wed,1024,7760,413,2625,"Centro Hospitalar Universitário Cova da Beira, EPE",6.35593220338983,University
2015-04-01,"Centro Hospitalar e Universitário de Coimbra, EPE",Especialidade Cirurgica,11336,80287,7.08248059280169,2,2015,Apr,13,Wed,8543,60513,2793,19774,"Centro Hospitalar e Universitário de Coimbra, EPE",7.07984246330111,University
2015-04-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,167,686,4.10778443113772,2,2015,Apr,13,Wed,122,507,45,179,Hospital Dr. Francisco Zagalo,3.97777777777778,Hospital
